0	3
1	5
2	1
3	3
4	5
5	3
6	4
7	6
8	1
9	8
10	7
11	3
12	4
13	4
14	1
15	6
16	2
17	2
18	7
19	6
20	3
21	5
22	3
23	6
24	7
25	5
26	2
27	3
28	4
29	8
30	8
31	3
32	7
33	2
34	7
35	3
36	4
37	2
38	8
39	2
40	5
41	4
42	4
43	3
44	2
45	7
46	4
47	6
48	5
49	6
50	2
51	2
52	6
53	3
54	4
55	5
56	1
57	2
58	5
59	5
60	5
62	3
63	2
64	3
65	9
66	5
67	1
68	8
69	3
70	5
71	5
72	5
73	3
74	5
75	6
76	4
77	4
78	4
79	7
80	3
81	3
82	4
83	2
84	4
85	5
86	6
87	1
88	2
89	5
90	8
91	3
92	1
93	6
94	5
95	5
96	2
97	1
98	10
99	5
100	4
101	8
102	7
103	3
104	1
105	4
106	2
107	7
108	5
109	6
110	6
111	2
112	9
113	5
114	1
115	5
116	1
117	2
118	2
119	6
120	7
121	4
122	6
123	5
124	7
125	4
127	2
128	9
129	1
130	5
131	3
132	2
133	5
134	4
135	3
136	2
137	2
138	5
139	8
140	3
141	4
142	4
143	4
144	3
145	2
146	9
147	4
148	2
149	2
150	1
151	4
152	3
153	7
154	9
155	4
156	5
157	6
158	8
159	8
160	6
161	6
162	7
163	7
164	4
165	2
166	4
167	5
168	3
169	2
170	3
171	2
172	6
173	2
175	2
176	4
177	6
178	3
179	6
180	1
181	1
182	4
183	4
184	2
185	10
186	5
187	6
188	4
189	2
191	5
192	6
193	3
194	7
195	5
196	7
197	6
198	6
199	3
200	3
201	2
202	5
203	3
204	4
205	5
206	1
207	1
208	1
209	1
210	2
211	6
212	3
213	7
214	5
215	6
216	3
217	5
218	3
219	4
220	4
221	4
222	6
224	2
225	1
226	1
227	1
228	4
229	6
230	6
231	3
232	5
233	6
234	2
235	4
236	2
237	2
238	4
239	5
240	1
241	5
242	4
243	4
244	3
245	5
246	1
247	6
248	6
249	6
250	1
251	3
252	5
253	8
254	4
255	5
256	2
257	7
258	5
259	1
260	5
261	4
262	5
263	3
264	3
265	3
266	3
268	7
