0	0
145	1
152	1
161	1
181	1
192	1
197	1
201	1
204	1
206	1
208	1
209	2
211	1
213	1
216	1
223	1
225	1
226	3
231	1
234	1
238	1
239	1
244	1
245	1
247	1
250	1
251	1
254	4
255	1
258	1
259	2
261	1
262	1
264	3
266	1
267	2
268	1
271	3
272	2
275	1
276	2
277	1
279	1
280	1
281	3
282	2
283	1
285	2
286	3
287	1
288	1
289	3
290	1
291	1
292	3
293	4
295	2
296	2
297	3
298	1
299	4
300	1
302	6
303	4
304	3
305	3
306	3
307	3
308	2
309	5
310	4
311	4
314	4
315	1
316	5
317	3
318	4
319	1
320	6
321	3
322	1
323	4
324	3
325	9
326	2
327	2
328	5
329	4
330	2
331	2
332	6
333	7
334	3
335	4
336	5
337	3
339	9
340	1
341	2
342	3
343	5
344	6
345	6
346	6
347	4
348	3
349	6
350	3
351	5
352	6
353	9
354	5
355	3
356	9
357	5
358	5
359	7
360	10
361	6
362	6
363	4
364	6
365	9
366	3
367	10
368	6
369	14
370	3
371	11
372	7
373	10
374	5
375	10
376	9
377	12
378	8
379	8
380	9
381	10
382	7
383	7
384	5
385	8
386	5
387	6
388	5
389	3
390	9
391	4
392	5
393	10
394	9
395	7
396	9
397	14
398	8
399	10
400	13
401	6
402	12
403	12
404	7
405	12
406	12
407	10
408	11
409	10
410	13
411	8
412	7
413	9
414	10
415	12
416	14
417	14
418	9
419	11
420	13
421	17
422	16
423	13
424	17
425	15
426	12
427	20
428	12
429	13
430	7
431	12
432	14
433	18
434	17
435	18
436	12
437	15
438	9
439	15
440	13
441	10
442	12
443	16
444	14
445	17
446	16
447	16
448	10
449	18
450	10
451	10
452	22
453	18
454	9
455	11
456	17
457	13
458	15
459	9
460	15
461	11
462	17
463	19
464	20
465	12
466	16
467	12
468	8
469	6
470	19
471	16
472	9
473	20
474	17
475	23
476	22
477	12
478	14
479	18
480	20
481	22
482	12
483	23
484	19
485	18
486	25
487	18
488	16
489	15
490	15
491	19
492	14
493	19
494	15
495	26
496	9
497	15
498	15
499	25
500	19
501	13
502	16
503	20
504	19
505	16
506	16
507	12
508	18
509	26
510	13
511	20
512	17
513	11
514	10
515	16
516	16
517	10
518	17
519	27
520	16
521	20
522	13
523	19
524	9
525	17
526	15
527	19
528	21
529	24
530	13
531	12
532	24
533	12
534	23
535	19
536	14
537	16
538	19
539	11
540	20
541	16
542	14
543	16
544	13
545	12
546	19
547	10
548	18
549	18
550	11
551	15
552	11
553	19
554	13
555	15
556	11
557	12
558	9
559	14
560	10
561	15
562	16
563	10
564	15
565	13
566	8
567	14
568	10
569	12
570	15
571	6
572	11
573	8
574	10
575	8
576	15
577	12
578	14
579	4
580	12
581	9
582	12
583	10
584	13
585	9
586	12
587	7
588	14
589	11
590	14
591	12
592	13
593	6
594	6
595	15
596	15
597	13
598	13
599	6
600	9
601	5
602	8
603	7
604	6
605	6
606	11
607	7
608	8
609	6
610	5
611	10
612	9
613	6
614	12
615	5
616	9
617	9
618	6
619	8
620	10
621	7
622	9
623	10
624	8
625	5
626	10
627	7
628	6
629	7
630	6
631	13
632	6
633	5
634	6
635	5
636	6
637	5
638	6
639	9
640	5
641	6
642	9
643	7
644	3
645	4
646	8
647	4
648	5
649	9
650	6
651	5
652	3
653	2
654	7
655	2
656	4
657	3
658	6
659	6
660	6
661	3
662	1
663	4
664	7
665	3
666	4
667	6
668	5
669	3
670	5
671	4
672	3
673	2
674	2
675	2
676	1
677	3
678	3
679	4
680	3
681	6
682	2
683	1
684	4
685	4
686	4
687	5
688	5
689	4
690	2
691	7
692	1
693	2
694	2
695	3
696	5
697	1
698	2
699	2
700	5
701	3
702	2
703	3
704	2
706	1
708	2
711	2
712	4
714	2
715	1
716	1
718	1
719	2
721	1
722	3
723	1
724	1
726	1
727	2
728	1
729	1
733	2
734	1
735	1
737	3
740	2
741	1
746	3
747	1
748	2
750	1
751	1
752	1
753	2
756	1
757	1
760	1
765	1
766	1
767	1
771	1
773	1
775	1
777	1
778	1
782	1
783	1
784	1
785	1
794	1
796	1
805	1
806	1
821	1
837	1
872	1
910	1
999 0
